ID;LABEL;CLASS;TYPE
1;javadoc;CONTROLLER;javadoc
3;javadoc;SERVICE;javadoc
4;javadoc;USER;javadoc
5;class_definition;CONTROLLER;class_definition
6;javadoc;REPOSITORY;javadoc
7;class_definition;SERVICE;class_definition
8;class_definition;USER;class_definition
9;class_definition;REPOSITORY;class_definition
10;ac_instance_variable;CONTROLLER;instance_variable
11;ac_constructor;CONTROLLER;constructor
12;ac_method_signature;CONTROLLER;method_signature
13;ac_method_signature;CONTROLLER;method_signature
14;ac_method_signature;CONTROLLER;method_signature
15;ac_method_signature;CONTROLLER;method_signature
16;ac_method_signature;CONTROLLER;method_signature
17;as_method_signature;SERVICE;method_signature
18;as_method_signature;SERVICE;method_signature
19;as_method_signature;SERVICE;method_signature
20;as_method_signature;SERVICE;method_signature
21;as_method_signature;SERVICE;method_signature
22;u_method_signature;USER;method_signature
23;u_method_signature;USER;method_signature
24;u_method_signature;USER;method_signature
25;u_method_signature;USER;method_signature
26;u_method_signature;USER;method_signature
27;ur_method_signature;REPOSITORY;method_signature
28;ur_method_signature;REPOSITORY;method_signature
29;ur_method_signature;REPOSITORY;method_signature
30;ur_method_signature;REPOSITORY;method_signature
31;ur_method_signature;REPOSITORY;method_signature
32;ur_method_signature;REPOSITORY;method_signature
33;method_call_ac_as;CONTROLLER;method_call
34;error_method_call_ac_as;CONTROLLER;method_call
35;method_call_ac_as;CONTROLLER;method_call
36;method_call_ac_as;CONTROLLER;method_call
37;method_call_ac_as;CONTROLLER;method_call
38;method_call_as_ur;SERVICE;method_call
39;method_call_as_ur;SERVICE;method_call
40;method_call_as_ur;SERVICE;method_call
41;method_call_as_ur;SERVICE;method_call
42;method_call_as_ur;SERVICE;method_call
43;method_call_as_ur;SERVICE;method_call
44;ur_method_body;REPOSITORY;method_body
45;ur_method_body;REPOSITORY;method_body
46;ur_method_body;REPOSITORY;method_body
47;ur_method_body;REPOSITORY;method_body
48;ur_method_body;REPOSITORY;method_body
49;ur_method_body;REPOSITORY;method_body
50;error;REPOSITORY;error
51;error;SERVICE;error
52;as_instance_variable;SERVICE;instance_variable
53;as_constructor;SERVICE;constructor
54;control_flow;SERVICE;control_flow
55;control_flow;SERVICE;control_flow
56;control_flow;SERVICE;control_flow
57;control_flow;REPOSITORY;control_flow
58;control_flow;REPOSITORY;control_flow
59;control_flow;REPOSITORY;control_flow
60;control_flow;REPOSITORY;control_flow
61;control_flow;REPOSITORY;control_flow
62;u_instance_variable;USER;instance_variable
63;u_constructor;USER;constructor
64;ur_instance_variable;REPOSITORY;instance_variable
65;ur_constructor;REPOSITORY;constructor
66;u_method_body;USER;method_body
67;u_method_body;USER;method_body
68;u_method_body;USER;method_body
69;u_method_body;USER;method_body
70;u_method_body;USER;method_body
71;as_method_body;SERVICE;method_body
72;as_method_body;SERVICE;method_body
73;as_method_body;SERVICE;method_body
74;as_method_body;SERVICE;method_body
75;as_method_body;SERVICE;method_body
